property_type,society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,ats triumph,4.45,sector 104,6846.0,4,5,3+,27.0,Relatively New,7222.0,0,0,0,0,0,1,110.0,"28.4788° N, 76.9960° E",28.4788,76.996
house,vipul tatvam villa,7.25,sector 48,22377.0,4,4,3,2.0,Relatively New,3240.0,1,1,1,1,0,2,103.0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,smart world orchard,2.2,sector 61,13500.0,3,3,2,1.0,Under Construction,1778.0,0,0,0,0,0,1,49.0,"28.4050° N, 77.0963° E",28.405,77.0963
flat,shapoorji pallonji joyville gurugram,1.26,sector 102,10370.0,2,2,3,7.0,Relatively New,1100.0,0,0,0,0,0,2,49.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,pyramid urban homes 2,0.44,sector 86,7321.0,2,2,2,6.0,Relatively New,668.0,0,0,0,0,0,2,63.0,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,smart world gems,1.2,sector 89,8433.0,3,3,2,2.0,New Property,1423.0,0,0,0,0,0,1,45.0,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,ansal heights 86,1.25,sector 86,7396.0,3,2,1,2.0,New Property,1530.0,0,0,0,0,0,1,100.0,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,sidhivinayak apartments,1.9,sector 55,10555.0,4,3,3+,9.0,Moderately Old,2000.0,0,0,0,1,0,0,35.0,"28.4281° N, 77.1100° E",28.4281,77.11
flat,citizen apartment,3.55,sector 51,6826.0,5,6,3+,11.0,Moderately Old,5200.0,1,1,1,1,0,2,157.0,"28.4320° N, 77.0686° E",28.432,77.0686
flat,sare crescent parc,0.49,sector 92,4909.0,2,2,2,2.0,Relatively New,1109.0,0,0,0,0,0,1,96.0,"28.4079° N, 76.9153° E",28.4079,76.9153
