property_type,society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,sidhartha ncr greens,0.6,sector 95,5576.0,1076.0,Super Built up area 1076(99.96 sq.m.),2,2,2,14.0,,Relatively New,1076.0,,,1,0,0,0,0,1,31.0,538.0
house,,9.0,sector 41,27778.0,3240.0,Plot area 360(301.01 sq.m.),8,5,3+,3.0,,Old Property,,3240.0,,0,1,1,1,0,2,26.0,405.0
flat,alpha corp gurgaonone,1.2,sector 84,9448.0,1270.0,Super Built up area 1270(117.99 sq.m.),2,2,1,6.0,South-West,Relatively New,1270.0,,,0,0,0,0,0,1,13.0,635.0
flat,m3m sierra 68,1.13,sector 68,9076.0,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),2,2,3,9.0,West,Relatively New,1245.0,1130.0,930.0,0,0,0,0,0,2,149.0,622.5
flat,tata primanti,3.5,sector 72,11428.0,3063.0,Built Up area: 2625 (243.87 sq.m.),4,5,3+,10.0,West,Relatively New,,2625.0,,0,1,0,0,1,1,38.0,765.75
flat,m3m sierra 68,1.08,sector 68,8674.0,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),2,2,3,1.0,West,Relatively New,1245.0,1130.0,930.0,0,0,0,0,0,2,149.0,622.5
house,,4.0,sector 53,17778.0,2250.0,Plot area 250(209.03 sq.m.),5,5,2,3.0,,Relatively New,,2250.0,,1,0,0,0,0,1,23.0,450.0
flat,dlf regency park,2.35,sector 28,13224.0,1777.0,Super Built up area 1777(165.09 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3,8.0,South-East,Old Property,1777.0,1700.0,1600.0,0,1,0,0,0,2,109.0,592.3333333333334
flat,tulip monsella,5.6,sector 53,19363.0,2892.0,Super Built up area 2892(268.68 sq.m.),3,3,3+,1.0,,Under Construction,2892.0,,,0,0,0,0,0,1,42.0,964.0
flat,corona gracieux,0.75,sector 76,5660.0,1325.0,Super Built up area 1325(123.1 sq.m.),2,2,3,13.0,,Relatively New,1325.0,,,0,0,0,0,0,2,0.0,662.5
flat,ambience creacions,4.1,sector 22,28101.0,1459.0,Super Built up area 2781(258.36 sq.m.)Carpet area: 1459 sq.ft. (135.55 sq.m.),3,3,3+,2.0,North-East,New Property,2781.0,,1459.0,0,0,0,0,0,0,119.0,486.3333333333333
house,huda ashok vihar phase,0.7,sector 3a,10233.0,684.0,Plot area 684(63.55 sq.m.),3,2,1,2.0,North-East,New Property,,684.0,,1,0,0,0,0,1,7.0,228.0
flat,residency grand,5.0,sector 52,9615.0,5200.0,Built Up area: 5200 (483.1 sq.m.),5,5,3+,2.0,East,Undefined,,5200.0,,0,0,0,0,0,1,0.0,1040.0
flat,vatika the seven lamps,1.28,sector 82,6819.0,1877.0,Super Built up area 1877(174.38 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3,3.0,North,Relatively New,1877.0,1800.0,1500.0,1,0,0,0,0,2,165.0,625.6666666666666
flat,ireo skyon,2.05,sector 60,15185.0,1350.0,Super Built up area 1524(141.58 sq.m.)Built Up area: 1520 sq.ft. (141.21 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2,3,2,2.0,North-East,Relatively New,1524.0,1520.0,1350.0,0,0,1,0,0,2,174.0,675.0
house,,4.0,sector 11,19753.0,2025.0,Built Up area: 225 (188.13 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),5,4,1,2.0,North-East,Undefined,,225.0,180.0,0,0,0,0,0,1,0.0,405.0
flat,m3m woodshire,1.8,sector 107,7623.0,2361.0,Super Built up area 2361(219.34 sq.m.)Carpet area: 1384 sq.ft. (128.58 sq.m.),3,4,3+,2.0,,Relatively New,2361.0,,1384.0,0,1,0,0,0,1,129.0,787.0
flat,satya element one,0.8,sector 49,11111.0,720.0,Built Up area: 720 (66.89 sq.m.),1,1,1,0.0,,Undefined,,720.0,,0,0,0,0,0,1,0.0,720.0
flat,ss the leaf,1.2,sector 85,10452.0,1148.0,Super Built up area 1640(152.36 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),2,2,3+,2.0,West,Relatively New,1640.0,,1148.0,0,0,1,0,0,1,156.0,574.0
flat,antriksh heights,0.49,sector 84,4355.0,1125.0,Super Built up area 1125(104.52 sq.m.),2,2,2,16.0,East,Relatively New,1125.0,,,0,0,0,0,0,1,66.0,562.5
