column_1,column_2,normalized_1,normalized_2,similarity
Dwarka Sector 21 Metro Station,Sector-21 Metro Dwarka,dwarka sector 21 metro station,sector 21 metro dwarka,84.62
Sector 42-43 Metro station,sector 55 56 metro station,sector 42 43 metro station,sector 55 56 metro station,84.62
MKD Hospital,Umkal Hospital,mkd hospital,umkal hospital,84.62
Rapid Metro Station Sector 56,Sector 53 Metro Station,rapid metro station sector 56,sector 53 metro station,84.62
Rapid Metro Station Sector 56,Sector 55 Metro Station,rapid metro station sector 56,sector 55 metro station,84.62
"Dwarka Sector 21, Metro Station",Sector-21 Metro Dwarka,dwarka sector 21 metro station,sector 21 metro dwarka,84.62
GEMS International School,Ashoka International School,gems international school,ashoka international school,84.62
Sector 54 Chowk Metro Station,Sector 55 Metro Station,sector 54 chowk metro station,sector 55 metro station,84.62
Arc Hospital,aarvy hospital,arc hospital,aarvy hospital,84.62
Sector 54 Chowk Metro Station,Sector 53 Metro Station,sector 54 chowk metro station,sector 53 metro station,84.62
Canara Bank ATM,CANARA BANK,canara bank atm,canara bank,84.62
Canara Bank ATM,Canara Bank,canara bank atm,canara bank,84.62
Aryan Hospital,Arc Hospital,aryan hospital,arc hospital,84.62
Sector-21 Metro Dwarka,Dwarka sector 21 metro station,sector 21 metro dwarka,dwarka sector 21 metro station,84.62
Dwarka Sector 21 Metro station,Sector-21 Metro Dwarka,dwarka sector 21 metro station,sector 21 metro dwarka,84.62
Sector 42-43 Metro Station,sector 55 56 metro station,sector 42 43 metro station,sector 55 56 metro station,84.62
Royal Institute Of Science & Management,Royal Institute Of Science and Mgt,royal institute of science management,royal institute of science and mgt,84.51
Sector 42-43 Rapid Metro,Rapid Metro Sector 56,sector 42 43 rapid metro,rapid metro sector 56,84.44
PVR Drive In Cinema,SCC Drive-In Cinema,pvr drive in cinema,scc drive in cinema,84.21
Krishna Hospital,Shree Krishna Hospital,krishna hospital,shree krishna hospital,84.21
MDS Public School,Diamond Public School,mds public school,diamond public school,84.21
Delhi Public School,Lions Public School,delhi public school,lions public school,84.21
Dwarka Sector 21,Sector-21 Metro Dwarka,dwarka sector 21,sector 21 metro dwarka,84.21
Primamed Super Speciality Hospital,signature super speciality hospital,primamed super speciality hospital,signature super speciality hospital,84.06
CD International School,Ashoka International School,cd international school,ashoka international school,84.0
Ompee International School,S N International School,ompee international school,s n international school,84.0
Rapid Metro Station Sector 56,Rapid Metro Sector 56,rapid metro station sector 56,rapid metro sector 56,84.0
Fortis hospital,artemis hospital,fortis hospital,artemis hospital,83.87
Conscient One Mall,Conscient One,conscient one mall,conscient one,83.87
Aatish Hospital,artemis hospital,aatish hospital,artemis hospital,83.87
Paras Trinity Mall,Paras Trinity,paras trinity mall,paras trinity,83.87
Altrade Business Centre,AIPL Business Centre,altrade business centre,aipl business centre,83.72
Green Field School,Green Field Public School,green field school,green field public school,83.72
Sector 54 Chowk Metro Station,Sector 42-43 Metro station,sector 54 chowk metro station,sector 42 43 metro station,83.64
Sector 54 Chowk Metro Station,sector 55 56 metro station,sector 54 chowk metro station,sector 55 56 metro station,83.64
Sector 54 Chowk Metro Station,sector 53 54 metro station,sector 54 chowk metro station,sector 53 54 metro station,83.64
Sector 54 Chowk Metro Station,Sector 42-43 Metro Station,sector 54 chowk metro station,sector 42 43 metro station,83.64
Euro International School,Broadways International School,euro international school,broadways international school,83.64
Rapid Metro Station Sector 56,sector 55 56 metro station,rapid metro station sector 56,sector 55 56 metro station,83.64
Sector 55 Metro Station,rapid metro station sector 55 56,sector 55 metro station,rapid metro station sector 55 56,83.64
MKD Hospital,K.D. Hospital,mkd hospital,k d hospital,83.33
SPM Hospital,MKD Hospital,spm hospital,mkd hospital,83.33
DPS International School,S N International School,dps international school,s n international school,83.33
W Pratiksha Hospital,Prakash Hospital,w pratiksha hospital,prakash hospital,83.33
Delhi Public School,MDS Public School,delhi public school,mds public school,83.33
MDS Public School,Lions Public School,mds public school,lions public school,83.33
ICICI Bank ATM,ICICI Bank,icici bank atm,icici bank,83.33
NH 48,NH 148A,nh 48,nh 148a,83.33
Prime Scholars Int. School,Prime Scholars International School,prime scholars int school,prime scholars international school,83.33
Holiday Inn Gurugram,holiday inn express gurugram,holiday inn gurugram,holiday inn express gurugram,83.33
Sector 42-43 Rapid Metro,rapid metro sector 55 56,sector 42 43 rapid metro,rapid metro sector 55 56,83.33
NH 148A,NH-48,nh 148a,nh 48,83.33
RPS International School,DPS International School,rps international school,dps international school,83.33
